OBS,WP4,WP3,WP2,D8,D9,MARGIN1,MARGIN2,MARGIN3,MARGIN4,MFR1,MFR2,MFR3,MFR4,PRICE1,PRICE2,PRICE3,PRICE4,PROMO11,PROMO12,PROMO13,PROMO14,PROMO21,PROMO22,PROMO23,PROMO24,RET,S10,S11,S12,S13,S2,S3,S4,S5,S6,S7,S8,S9,VOL1,VOL2,VOL3,VOL4,WEEK,WP1,D7,D6,D5,D4,D3,D2,D10,D1,CSALES
9/14/1989,0.225805212,0.178126213,0.309824521,0,0,0.342824095,0.238598306,0.285662156,0.259153325,29544,92757,23491,61128,0.328270584,0.406913359,0.2493585,0.304793448,0.023,0.128,0.223,0.08,0,0,0,0.061,75256,1,0,0,0,0,0,0,0,0,0,0,0,136948,299385.6,131878.4,270711.2,1,0.215731519,0,0,0,0,0,0,0,0,838923.2
9/21/1989,0.22268452,0.188296454,0.302846604,0,0,0.258697319,0.272681925,0.285116878,0.283296566,80226,62697,20001,42560,0.307329122,0.416388118,0.26339474,0.310706647,0.212,0,0,0.172,0.056,0,0,0,76303,1,0,0,0,0,0,0,0,0,0,0,0,352140.4,207025.6,106220.8,191122.4,2,0.227823902,0,0,0,0,0,0,0,0,856509.2
9/28/1989,0.218722763,0.181529505,0.267994069,0,0,0.313285509,0.222368332,0.302396514,0.302344356,35982.93218,138112.9945,20862.24211,44177.27366,0.330698277,0.344628543,0.260218748,0.313511063,0.109,0,0,0.133,0,0.132,0,0,84098.50158,1,0,0,0,0,0,0,0,0,0,0,0,158448.6,515358.4,114924.8,201978.4,3,0.227095299,0,0,0,0,0,0,0,0,990710.2
10/05/1989,0.222175899,0.19105337,0.283279617,0,0,0.316327452,0.32537023,0.079230809,0.308799857,30370.68533,62557.65773,106598.6096,54231.00394,0.346518603,0.41990382,0.207493226,0.321434972,0,0,0.229,0.123,0,0,0,0,77624.22003,1,0,0,0,0,0,0,0,0,0,0,0,128197.6,220833.6,557952,244090.4,4,0.236905257,0,0,0,0,0,0,0,0,1151073.6
10/12/1989,0.218498705,0.191664721,0.264063315,0,0,0.304494577,0.112112352,0.294674331,0.28125,28090.30284,178073.3147,22262.54732,42950.37776,0.340818864,0.297406227,0.271739324,0.303998198,0,0.51,0,0.159,0,0,0,0,60890.72319,0,1,0,0,0,0,0,0,0,0,0,0,118503.8,674358.4,116153.6,196570.4,5,0.237041368,0,0,0,0,0,0,0,0,1105586.2
10/19/1989,0.222785302,0.186365911,0.287841811,0,0,0.209830157,0.309785887,0.282335258,0.294566797,98443.36041,64236.62066,18186.92744,38431.71215,0.303353416,0.417032635,0.259683805,0.315813462,0.116,0,0,0.058,0,0,0,0,78175.52129,0,1,0,0,0,0,0,0,0,0,0,0,410692.8,223166.4,97587.2,172505.6,6,0.239700721,0,0,0,0,0,0,0,1,903952
10/26/1989,0.227954584,0.190034168,0.29466008,0,0,0.307927197,0.292743065,0.28215351,0.265586618,40210.91167,69867.91246,24364.50868,86607.4235,0.346172882,0.416623812,0.264728142,0.31039002,0.105,0,0,0.067,0,0,0,0,87707.01893,0,1,0,0,0,0,0,0,0,0,0,0,167841.4,237113.6,128211.2,379932.8,7,0.239576837,0,0,0,0,0,0,0,1,913099
11/02/1989,0.218161064,0.180543037,0.296213557,0,0,0.242607237,0.274647523,0.316419824,0.332789119,98765.82873,70240.05446,20325.96843,49605.11365,0.316479476,0.408371883,0.264113916,0.32697468,0,0,0,0.068,0.218,0,0,0,92382.74033,0,1,0,0,0,0,0,0,0,0,0,0,412040.6,237126.4,112582.4,227378.4,8,0.239699264,0,0,0,0,0,0,0,0,989127.8
11/09/1989,0.230610591,0.185266975,0.306409375,0,0,0.264350398,0.208623133,0.285732815,0.301058089,40420.20758,98047.56827,38670.70166,46518.39937,0.323769143,0.387185155,0.259380494,0.329942427,0,0.206,0,0.114,0.16,0,0,0,75878.80032,0,0,1,0,0,0,0,0,0,0,0,0,169704,319988.8,208729.6,201718.4,9,0.238180641,0,0,0,0,0,1,0,0,900140.8
11/16/1989,0.231472356,0.17003204,0.255553322,0,0,0.291035035,0.211970151,0.364214271,0.266222425,40863.603,155407.086,21871.83346,54790.43252,0.352420208,0.324293962,0.267436076,0.315453025,0.059,0,0,0.114,0,0.13,0,0,90985.34254,0,0,1,0,0,0,0,0,0,0,0,0,163550.2,608120,128633.6,236704,10,0.24985358,0,0,0,0,0,1,0,0,1137007.8
